sample_name_short,,OxicEvo04EcoliGlc_Broth-10,OxicEvo04EcoliGlc_Broth-11,OxicEvo04EcoliGlc_Broth-12,OxicEvo04EcoliGlc_Broth-4,OxicEvo04EcoliGlc_Broth-5,OxicEvo04EcoliGlc_Broth-6,OxicEvo04gndEcoliGlc_Broth-1,OxicEvo04gndEcoliGlc_Broth-2,OxicEvo04gndEcoliGlc_Broth-3,OxicEvo04gndEcoliGlc_Broth-7,OxicEvo04gndEcoliGlc_Broth-8,OxicEvo04gndEcoliGlc_Broth-9,OxicEvo04pgiEcoliGlc_Broth-1,OxicEvo04pgiEcoliGlc_Broth-2,OxicEvo04pgiEcoliGlc_Broth-3,OxicEvo04pgiEcoliGlc_Broth-4,OxicEvo04pgiEcoliGlc_Broth-5,OxicEvo04pgiEcoliGlc_Broth-6,OxicEvo04ptsHIcrrEcoliGlc_Broth-1,OxicEvo04ptsHIcrrEcoliGlc_Broth-2,OxicEvo04ptsHIcrrEcoliGlc_Broth-3,OxicEvo04ptsHIcrrEcoliGlc_Broth-4,OxicEvo04ptsHIcrrEcoliGlc_Broth-5,OxicEvo04ptsHIcrrEcoliGlc_Broth-6,OxicEvo04sdhCBEcoliGlc_Broth-1,OxicEvo04sdhCBEcoliGlc_Broth-2,OxicEvo04sdhCBEcoliGlc_Broth-3,OxicEvo04sdhCBEcoliGlc_Broth-4,OxicEvo04sdhCBEcoliGlc_Broth-5,OxicEvo04sdhCBEcoliGlc_Broth-6,OxicEvo04tpiAEcoliGlc_Broth-1,OxicEvo04tpiAEcoliGlc_Broth-2,OxicEvo04tpiAEcoliGlc_Broth-3,OxicEvo04tpiAEcoliGlc_Broth-4,OxicEvo04tpiAEcoliGlc_Broth-5,OxicEvo04tpiAEcoliGlc_Broth-6
sample_name_abbreviation,,OxicEvo04EcoliGlc,OxicEvo04EcoliGlc,OxicEvo04EcoliGlc,OxicEvo04EcoliGlc,OxicEvo04EcoliGlc,OxicEvo04EcoliGlc,OxicEvo04gndEcoliGlc,OxicEvo04gndEcoliGlc,OxicEvo04gndEcoliGlc,OxicEvo04gndEcoliGlc,OxicEvo04gndEcoliGlc,OxicEvo04gndEcoliGlc,OxicEvo04pgiEcoliGlc,OxicEvo04pgiEcoliGlc,OxicEvo04pgiEcoliGlc,OxicEvo04pgiEcoliGlc,OxicEvo04pgiEcoliGlc,OxicEvo04pgiEcoliGlc,OxicEvo04ptsHIcrrEcoliGlc,OxicEvo04ptsHIcrrEcoliGlc,OxicEvo04ptsHIcrrEcoliGlc,OxicEvo04ptsHIcrrEcoliGlc,OxicEvo04ptsHIcrrEcoliGlc,OxicEvo04ptsHIcrrEcoliGlc,OxicEvo04sdhCBEcoliGlc,OxicEvo04sdhCBEcoliGlc,OxicEvo04sdhCBEcoliGlc,OxicEvo04sdhCBEcoliGlc,OxicEvo04sdhCBEcoliGlc,OxicEvo04sdhCBEcoliGlc,OxicEvo04tpiAEcoliGlc,OxicEvo04tpiAEcoliGlc,OxicEvo04tpiAEcoliGlc,OxicEvo04tpiAEcoliGlc,OxicEvo04tpiAEcoliGlc,OxicEvo04tpiAEcoliGlc
experiment_id,,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01,ALEsKOs01
time_point,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
component_name,component_group_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23dpg.23dpg_1.Light,23dpg,0.729758485154989,0.932979870357958,0.615112627066459,0.599411374341814,0.636125844691598,0.765039004218168,0.755120852882814,0.586713363635132,0.395597497748677,0.641243636435245,0.557945217265691,0.389915823629664,0.200755369250686,0.184416003635469,0.48815377117052,0.143959313610329,0.174798927642129,0.331322184121816,1.37190696744844,1.10828478370274,1.01413066289317,1.13612311235942,1.02298816126271,0.887457376742847,0.397660063330457,0.405302966829418,0.645100619339703,0.292401441693855,0.379271815844582,0.608465569565008,0.183435181334053,0.553082099344673,0.32558882071038,0.126302208284216,0.315191010518255,0.241440152069369
6pgc.6pgc_1.Light,6pgc,0.459594119571724,0.4584662353534,0.473541844094271,0.360228636939259,0.488924978254915,0.436838797366303,4.9113539169587,4.32332100851216,4.28166183062255,4.56255823691118,4.7485633425963,3.77776277026064,7.06542051604975,6.31904855423393,7.92214019780322,7.63245553649363,5.20136255454769,8.07631750475137,0.354748542791448,0.602089966908005,0.35186171198028,0.523195506153955,0.430573936076612,0.383973763700691,0.440242421742695,0.622475338205201,0.608829038901942,0.505383684520777,0.462599444723773,0.58078628646356,0.16948484730063,0.190216827114256,0.151872389081624,0.141171674325863,0.134987544917079,0.174328906546491
Lcystin.Lcystin_1.Light,Lcystin,0.0508865935856449,0.0710752807408825,0.0574897890132502,0.0883289294007285,0.0644448137603558,0.0564550956927896,0.0697035335015421,0.0425536297837876,0.049413892230051,0.0905869785826655,0.0583173813430212,0.017915343338615,0.121997721755351,0.0913583603068792,0.187187413306286,0.128910428524411,0.110583133332652,0.144901522403861,0.392192620210375,0.441024722239309,0.230799975921296,0.34319302864804,0.355092077814729,0.262284733608758,0.0938999531443502,0.0455086912651312,0.101844431458505,0.121035641375119,0.0921673008366676,0.0545129496015129,,,,,,
Pool_2pg_3pg.Pool_2pg_3pg_1.Light,Pool_2pg_3pg,2.23651907304597,1.84083276327249,1.95682593801416,2.20644659560158,2.11156236966806,2.03337081220079,2.54009319766361,2.48994797667261,1.51981434530739,2.73003743629378,2.6556592088299,1.94254502605518,0.5823070206489,0.701508220621947,0.550576899358619,0.54932580059682,0.776751520124149,0.542952216848049,6.50887179974227,6.19043388614181,4.11705457518194,6.17619045812466,7.59770149854503,3.94751418628253,1.76108504994359,2.18713766985947,2.09529474962191,2.31168943588212,2.6603428816908,2.06653343883601,0.333965564945925,0.37105962617197,0.334511888455,0.257694493846508,0.413422895299143,0.330932656961323
accoa.accoa_1.Light,accoa,1.43355481754851,1.64796641000449,1.35431607997456,1.50416327609935,1.588133256509,1.31539135589689,3.76399747639252,2.17305654910292,4.27803004379648,3.97672729385636,2.41428679807564,4.3378846117477,1.78827300911778,3.57923597923212,2.57290471509825,1.59161122505576,3.23842509190078,2.70967095512894,1.01982480628902,0.753080265771967,1.12876525193384,0.957595455650957,0.68815878136326,1.0824489281692,0.759284411941879,0.927698365011509,1.56474456042546,0.84857710672115,1.01220056760919,1.67636323694612,4.24261582159046,2.78032465721127,0.711332787865015,4.10834916173353,2.47471030825826,0.732333789303343
acon-C.acon-C_1.Light,acon-C,0.688625251179951,0.685830868271304,0.910127894722794,0.700196644097866,0.741723865730204,1.04414759497726,3.53574590766343,4.38406485920156,2.34355608067739,3.78265249490448,3.48470217855743,2.67724961263436,1.01086733522459,0.435711157571913,0.679847720131216,0.94590038834291,0.507084337395562,0.754129141566806,1.99113164846197,2.56643630411795,1.06402918996307,1.79137469552442,2.20531489833568,1.29266392466184,0.85259263894311,0.762307508538927,0.717947534353783,0.80803235258537,0.717764805429527,0.835942653728421,9.41365365367026,9.90083050576457,8.70930591361337,12.4164544748516,20.2546442280105,12.8849174212183
